Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2017-05-12,2455.0921938230267,3518.29821228981,30.198711395263672,-122.42538452148438,40.40473175048828,-75.94300842285156,9.71246387736036,85.00031280517578,0.5,8090,,,,,53642518,3336180,
2017-05-13,2219.5772503746166,430.2298517525196,30.26942253112793,-97.73303985595703,30.5194034576416,-97.62708282470703,8.883324896542335,36.80010986328125,0.5053711533546448,1890,,,,,66392248,1137091,
2017-05-14,2361.899594772511,1449.9100143909454,30.41811180114746,-97.79180145263672,30.540374755859375,-97.61471557617188,3.6679259690677406,37.18013381958008,0.5000999569892883,3854,,,,,68961588,2586798,
2017-05-15,2291.145642869532,1122.1636567115784,30.398632049560547,-97.72842407226562,30.498538970947266,-97.62739562988281,4.324153534726059,35.78002166748047,0.5021951794624329,2721,,,,,55003644,1836651,
2017-05-16,2186.568774400611,97.48422765731812,30.496944427490234,-97.6284408569336,30.498743057250977,-97.6135025024414,2.5785808482555996,21.381832122802734,0.5852349996566772,980,,,,,47759668,800864,
2017-05-17,2256.354194172806,535.9412943124771,30.400009155273438,-97.7282943725586,30.498197555541992,-97.62744140625,3.163021013958438,35.87067413330078,0.5458937883377075,2029,,,,,73813356,1511704,
2017-05-18,2228.083240594478,435.7884738445282,30.481334686279297,-97.67276000976562,30.499462127685547,-97.61488342285156,2.4770218015029597,21.790664672851562,0.6400781273841858,2272,,,,,48124816,1218056,
2017-05-19,2252.239745274089,1088.1279606819153,30.49640655517578,-97.6605453491211,30.528217315673828,-97.62776947021484,3.849481232309792,28.642791748046875,0.5200961232185364,2543,,,,,69662437,1458623,
2017-05-20,2169.7707484104058,50.89250183105469,30.49627685546875,-97.65996551513672,30.507774353027344,-97.6270523071289,0.9022835148401982,10.43069076538086,0.5215361714363098,724,,,,,57981955,629758,
2017-05-21,2209.0207926436774,631.688479423523,30.470170974731445,-97.62846374511719,30.499942779541016,-97.59191131591797,3.2188167214467853,28.106399536132812,0.5232590436935425,2483,,,,,67858469,1029562,
2017-05-22,2226.1466128833918,471.5912541151047,30.459213256835938,-97.7957992553711,30.498233795166016,-97.62734985351562,2.6419942012149717,38.51240158081055,0.5,2035,,,,,50213799,1164959,
2017-05-23,2293.7233671950544,916.7951769009233,30.420045852661133,-97.790771484375,30.509138107299805,-97.6277847290039,4.7789514897750385,38.050106048583984,0.5099999904632568,2477,,,,,75529338,1892350,
2017-05-24,2205.7083912302933,495.49458289146423,30.459497451782227,-97.79041290283203,30.498138427734375,-97.62632751464844,2.3377159832013437,37.1340446472168,0.5035871267318726,1481,,,,,72673231,988462,
2017-05-25,2213.0583945049666,345.22134733200073,30.496950149536133,-97.6285629272461,30.498306274414062,-97.61322021484375,1.6535263283684758,18.64068603515625,0.5100979804992676,1140,,,,,77770251,1067246,
2017-05-26,2207.2810656723514,428.56923389434814,30.490055084228516,-98.39433288574219,31.221166610717773,-97.61486053466797,3.5231507357941885,32.7500114440918,0.5103920102119446,2224,,,,,67921153,988606,
2017-05-27,2116.7422031361334,29.197799682617188,31.289316177368164,-98.40865325927734,31.29474639892578,-98.40553283691406,1.5574538786943672,3.450275421142578,0.5015974640846252,198,,,,,80261942,89604,
2017-05-28,2171.5168910654997,350.3714394569397,30.496166229248047,-98.40711212158203,31.29467010498047,-97.57698059082031,4.360158841845247,37.559810638427734,0.5003998279571533,2218,,,,,49169632,647544,
2017-05-29,2219.7999728348304,572.5162115693092,30.481876373291016,-97.6817855834961,30.501384735107422,-97.6144790649414,3.1596153977633246,33.28002166748047,0.5199999809265137,2823,,,,,75757812,1139360,
2017-05-30,2115.576796405837,10.035140991210938,30.4976806640625,-97.62865447998047,30.498037338256836,-97.62776947021484,0.6615199460066951,1.1800423860549927,0.5603570342063904,374,,,,,73809353,77733,
2017-05-31,2167.224210590808,394.6891905069351,30.421598434448242,-97.79244995117188,30.66991424560547,-97.62751007080078,5.286087426536721,37.800010681152344,0.5,1620,,,,,75686385,603818,
2017-06-01,2206.6388708595305,1126.0626726150513,30.302772521972656,-97.76311492919922,30.498811721801758,-97.61373901367188,3.432014095880055,36.78326416015625,0.5092150568962097,2765,,,,,74845728,995701,
2017-06-02,2160.085827783221,274.07809591293335,30.381250381469727,-97.73689270019531,30.57215690612793,-97.6274185180664,2.7616179655472295,32.49034881591797,0.5015974640846252,1508,,,,,74254610,481082,
2017-06-03,2173.336808242534,296.15062046051025,30.42690658569336,-97.67281341552734,30.538434982299805,-97.6270980834961,3.616889916959692,32.130157470703125,0.5,2819,,,,,66693922,665362,
2017-06-04,2258.500948684027,1083.5390456914902,30.459379196166992,-97.7894287109375,30.509593963623047,-97.62734985351562,7.555542563887555,38.01006317138672,0.5215361714363098,2811,,,,,42532142,1514382,
2017-06-05,2153.7052619141605,105.17086112499237,30.479455947875977,-97.68498229980469,30.498151779174805,-97.62769317626953,7.159599786788527,24.731069564819336,0.5048762559890747,1768,,,,,66726957,466114,
2017-06-06,2137.354443310477,109.05934476852417,30.496788024902344,-97.62857055664062,30.4981746673584,-97.62667846679688,0.7591027627671257,3.485183000564575,0.5003998279571533,709,,,,,75892185,293414,
2017-06-07,2148.7136544462637,268.71516251564026,30.48380470275879,-97.67302703857422,30.499773025512695,-97.61426544189453,2.7443167185423403,24.510019302368164,0.6299999952316284,1433,,,,,77823960,385565,
2017-06-08,2166.4765277024153,168.50410443544388,30.41800308227539,-97.79325866699219,30.538551330566406,-97.61163330078125,5.9981101549069695,35.54002380371094,0.5035871267318726,1554,,,,,42670071,596202,
2017-06-09,2142.6060535498636,163.52997720241547,30.40290641784668,-97.72476959228516,30.49808120727539,-97.62771606445312,4.636297152533584,34.740325927734375,0.5135172605514526,1549,,,,,54091920,353055,
2017-06-10,2196.520113490539,662.1554290540516,30.131362915039062,-98.04739379882812,30.5091552734375,-97.62757873535156,6.014687296381672,37.432029724121094,0.5063595175743103,1882,,,,,67275389,871250,
2017-06-11,2175.212231830799,320.422259747982,30.256982803344727,-97.74382019042969,30.5096435546875,-97.61266326904297,9.754494600085897,37.771812438964844,0.5024937987327576,1910,,,,,71909798,685185,
2017-06-12,2160.468528274108,288.62975919246674,30.494327545166016,-97.67826843261719,30.50918960571289,-97.62699890136719,7.288237519907315,22.10272789001465,0.5281098484992981,1260,,,,,78502619,535005,
2017-06-13,2190.093754420646,730.8647322654724,30.496593475341797,-97.63004302978516,30.499048233032227,-97.61460876464844,3.623735153163203,18.581422805786133,0.5,1163,,,,,68775827,799086,
